STR, orig: CANADA, Hashed: 3, result: 3, Mask1: 255, Mask2: 511, nbucket: 256
LONG, orig: 834666497, Hashed: 3983, result: 3983, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075336, Hashed: 62074, result: 62074, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 373293066, Hashed: 12984, result: 12984, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 545259529, Hashed: 1293, result: 1293, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 448790532, Hashed: 87762, result: 22226, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 826277889, Hashed: 68491, result: 2955, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 679477251, Hashed: 17735, result: 17735, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 557842441, Hashed: 101123, result: 35587, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 150994946, Hashed: 18506, result: 18506, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 616562692, Hashed: 42786, result: 42786, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 100663305, Hashed: 12345, result: 12345, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 356515846, Hashed: 10924, result: 10924, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 599785474, Hashed: 40732, result: 40732, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 25165825, Hashed: 68621, result: 3085, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 541065220, Hashed: 99078, result: 33542, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 8388613, Hashed: 66561, result: 1025, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 520093705, Hashed: 63729, result: 63729, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 515899398, Hashed: 95984, result: 30448, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 578813961, Hashed: 5405, result: 5405, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 255852552, Hashed: 64114, result: 64114, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 830472202, Hashed: 36230, result: 36230, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 385875974, Hashed: 47294, result: 47294, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 687865865, Hashed: 84289, result: 18753, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 402653192, Hashed: 49352, result: 49352, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 599785476, Hashed: 40730, result: 40730, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 780140551, Hashed: 30067, result: 30067, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 268435461, Hashed: 32901, result: 32901, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 503316487, Hashed: 61687, result: 61687, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 620757001, Hashed: 76065, result: 10529, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 566231041, Hashed: 36623, result: 36623, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 327155719, Hashed: 105627, result: 40091, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 490733572, Hashed: 27374, result: 27374, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 432013316, Hashed: 85706, result: 20170, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 478150657, Hashed: 124133, result: 58597, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 406847489, Hashed: 17091, result: 17091, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 192937991, Hashed: 89179, result: 23643, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 452984835, Hashed: 55515, result: 55515, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 499122179, Hashed: 93933, result: 28397, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 234881025, Hashed: 28785, result: 28785, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 524288008, Hashed: 31474, result: 31474, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 796917761, Hashed: 32125, result: 32125, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 167772161, Hashed: 20561, result: 20561, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 293601287, Hashed: 101515, result: 35979, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 188743682, Hashed: 55896, result: 55896, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 553648131, Hashed: 67851, result: 2315, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 826277896, Hashed: 68482, result: 2946, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075337, Hashed: 62075, result: 62075, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 390070279, Hashed: 15037, result: 15037, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 641728520, Hashed: 111418, result: 45882, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 276824069, Hashed: 99457, result: 33921, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 226492421, Hashed: 93289, result: 27753, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 671088648, Hashed: 82248, result: 16712, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 117440521, Hashed: 14385, result: 14385, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 457179142, Hashed: 23260, result: 23260, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 532676616, Hashed: 98038, result: 32502, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 415236098, Hashed: 83652, result: 18116, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 377487361, Hashed: 111797, result: 46261, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 725614596, Hashed: 121694, result: 56158, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 796917761, Hashed: 32125, result: 32125, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 599785474, Hashed: 40732, result: 40732, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 297795594, Hashed: 69252, result: 3716, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 247463943, Hashed: 128625, result: 63089, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 629145609, Hashed: 11557, result: 11557, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 650117126, Hashed: 46896, result: 46896, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 536870921, Hashed: 65801, result: 265, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 633339907, Hashed: 44845, result: 44845, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 121634824, Hashed: 47666, result: 47666, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 650117130, Hashed: 46908, result: 46908, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 759169026, Hashed: 125800, result: 60264, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 335544321, Hashed: 41121, result: 41121, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 599785478, Hashed: 40728, result: 40728, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 50331650, Hashed: 6170, result: 6170, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 4194310, Hashed: 33284, result: 33284, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 226492421, Hashed: 93289, result: 27753, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 469762054, Hashed: 57574, result: 57574, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 679477255, Hashed: 17731, result: 17731, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 608174082, Hashed: 107296, result: 41760, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 29360130, Hashed: 101900, result: 36364, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075333, Hashed: 62071, result: 62071, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 369098761, Hashed: 45241, result: 45241, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 583008266, Hashed: 38684, result: 38684, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 834666497, Hashed: 3983, result: 3983, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 482344966, Hashed: 91872, result: 26336, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 314572806, Hashed: 71312, result: 5776, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 465567746, Hashed: 89820, result: 24284, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 494927874, Hashed: 126190, result: 60654, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 692060162, Hashed: 117576, result: 52040, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 188743684, Hashed: 55902, result: 55902, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 272629770, Hashed: 648, result: 648, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 448790538, Hashed: 87772, result: 22236, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 490733575, Hashed: 27373, result: 27373, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075336, Hashed: 62074, result: 62074, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 150994946, Hashed: 18506, result: 18506, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 335544321, Hashed: 41121, result: 41121, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075333, Hashed: 62071, result: 62071, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 637534215, Hashed: 78135, result: 12599, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 788529161, Hashed: 96625, result: 31089, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 813694984, Hashed: 34188, result: 34188, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 411041802, Hashed: 115918, result: 50382, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 272629766, Hashed: 644, result: 644, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 41943043, Hashed: 70679, result: 5143, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 130023431, Hashed: 114233, result: 48697, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 549453831, Hashed: 34561, result: 34561, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 41943047, Hashed: 70675, result: 5139, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 595591177, Hashed: 7445, result: 7445, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 759169026, Hashed: 125800, result: 60264, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 536870915, Hashed: 65795, result: 259, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 469762057, Hashed: 57577, result: 57577, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 419430403, Hashed: 51403, result: 51403, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 134217736, Hashed: 16456, result: 16456, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 121634818, Hashed: 47672, result: 47672, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 109051905, Hashed: 78901, result: 13365, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 130023426, Hashed: 114236, result: 48700, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 574619651, Hashed: 103185, result: 37649, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 272629770, Hashed: 648, result: 648, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 192937991, Hashed: 89179, result: 23643, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 692060164, Hashed: 117582, result: 52046, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 784334856, Hashed: 63358, result: 63358, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 369098761, Hashed: 45241, result: 45241, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 801112069, Hashed: 65403, result: 65403, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 746586121, Hashed: 25965, result: 25965, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 121634818, Hashed: 47672, result: 47672, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 369098761, Hashed: 45241, result: 45241, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 461373447, Hashed: 122075, result: 56539, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 583008261, Hashed: 38675, result: 38675, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 796917761, Hashed: 32125, result: 32125, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 515899396, Hashed: 95986, result: 30450, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 402653193, Hashed: 49353, result: 49353, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 557842436, Hashed: 101134, result: 35598, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 411041793, Hashed: 115909, result: 50373, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 37748746, Hashed: 37400, result: 37400, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 419430402, Hashed: 51402, result: 51402, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 176160777, Hashed: 87133, result: 21597, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 213909506, Hashed: 124516, result: 58980, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 440401922, Hashed: 21200, result: 21200, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 239075333, Hashed: 62071, result: 62071, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 587202566, Hashed: 71966, result: 6430, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 394264582, Hashed: 113850, result: 48314, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 201326599, Hashed: 24679, result: 24679, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 176160777, Hashed: 87133, result: 21597, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 247463940, Hashed: 128626, result: 63090, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 805306372, Hashed: 98692, result: 33156, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 813694984, Hashed: 34188, result: 34188, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 394264583, Hashed: 113851, result: 48315, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 729808899, Hashed: 23903, result: 23903, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 398458888, Hashed: 81590, result: 16054, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 4194306, Hashed: 33280, result: 33280, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 260046855, Hashed: 97403, result: 31867, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 750780424, Hashed: 59246, result: 59246, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 88080394, Hashed: 43552, result: 43552, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 339738626, Hashed: 8864, result: 8864, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 570425351, Hashed: 69911, result: 4375, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 725614593, Hashed: 121691, result: 56155, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 218103812, Hashed: 26732, result: 26732, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 830472202, Hashed: 36230, result: 36230, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 461373445, Hashed: 122073, result: 56537, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 171966466, Hashed: 53840, result: 53840, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 532676614, Hashed: 98040, result: 32504, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 331350025, Hashed: 73367, result: 7831, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 830472201, Hashed: 36229, result: 36229, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 171966466, Hashed: 53840, result: 53840, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 683671560, Hashed: 51022, result: 51022, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 624951306, Hashed: 109344, result: 43808, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 109051909, Hashed: 78897, result: 13361, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 713031685, Hashed: 21841, result: 21841, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 650117123, Hashed: 46901, result: 46901, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 138412036, Hashed: 49734, result: 49734, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 343932931, Hashed: 107687, result: 42151, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 285212677, Hashed: 34957, result: 34957, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 700448776, Hashed: 53062, result: 53062, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 734003203, Hashed: 57181, result: 57181, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 377487361, Hashed: 111797, result: 46261, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 197132294, Hashed: 122456, result: 56920, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 327155718, Hashed: 105626, result: 40090, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 159383561, Hashed: 85061, result: 19525, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 566231046, Hashed: 36616, result: 36616, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 415236106, Hashed: 83660, result: 18124, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 675282952, Hashed: 115530, result: 49994, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 637534211, Hashed: 78131, result: 12595, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 708837384, Hashed: 119642, result: 54106, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 306184193, Hashed: 4755, result: 4755, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 650117123, Hashed: 46901, result: 46901, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 494927874, Hashed: 126190, result: 60654, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 218103812, Hashed: 26732, result: 26732, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 218103811, Hashed: 26731, result: 26731, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 205520902, Hashed: 57956, result: 57956, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 306184193, Hashed: 4755, result: 4755, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 658505733, Hashed: 113471, result: 47935, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 100663303, Hashed: 12343, result: 12343, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 4194310, Hashed: 33284, result: 33284, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 109051909, Hashed: 78897, result: 13361, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 209715203, Hashed: 91239, result: 25703, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 134217736, Hashed: 16456, result: 16456, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 608174082, Hashed: 107296, result: 41760, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 33554441, Hashed: 4121, result: 4121, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 394264583, Hashed: 113851, result: 48315, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 306184195, Hashed: 4753, result: 4753, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 369098761, Hashed: 45241, result: 45241, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 37748742, Hashed: 37396, result: 37396, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 37748738, Hashed: 37392, result: 37392, Mask1: 65535, Mask2: 131071, nbucket: 65536
LONG, orig: 801112067, Hashed: 65405, result: 65405, Mask1: 65535, Mask2: 131071, nbucket: 65536
